Date,Price,open,high,low,volume,Change %,close
2020-03-20,22198.43,22072.56,22211.67,22035.11,379480000.0,0.0036,22198.43
2020-03-23,21700.98,22198.43,22208.81,21694.16,464360000.0,-0.022400000000000003,21700.98
2020-03-24,21741.16,21703.8,21770.42,21703.8,330100000.0,0.0019,21741.16
2020-03-25,21729.48,21743.47,21814.74,21663.32,233070000.0,-0.0005,21729.48
2020-03-26,21757.47,21729.48,21903.0,21696.88,172160000.0,0.0013,21757.47
2020-03-27,21861.78,21842.18,21885.05,21803.89,251410000.0,0.0048,21861.78
2020-03-30,21330.79,21828.65,21828.65,21330.79,466870000.0,-0.024300000000000002,21330.79
2020-03-31,21300.47,21330.79,21340.64,21270.26,422000000.0,-0.0014000000000000002,21300.47
2020-04-01,21100.54,21309.5,21317.98,20779.13,154350000.0,-0.009399999999999999,21100.54
2020-04-02,21121.2,21100.54,21170.0,20790.71,255530000.0,0.001,21121.2
2020-04-03,21094.62,21166.38,21197.32,20769.37,235290000.0,-0.0013,21094.62
2020-04-06,20669.38,21094.62,21208.95,20651.59,336420000.0,-0.0202,20669.38
2020-04-07,20925.19,20683.16,20925.19,20667.55,342570000.0,0.0124,20925.19
2020-04-08,21073.26,20925.19,21150.01,20925.19,346410000.0,0.0070999999999999995,21073.26
2020-04-09,21384.03,21073.26,21385.85,20985.63,314850000.0,0.0147,21384.03
2020-04-14,21879.95,21384.03,21883.39,21239.02,264740000.0,0.0232,21879.95
2020-04-15,22539.94,21879.95,22543.48,21873.47,326390000.0,0.0302,22539.94
2020-04-16,22554.84,22539.94,22634.28,22380.94,379110000.0,0.0007000000000000001,22554.84
2020-04-17,22921.59,22554.84,22927.88,22524.23,231600000.0,0.0163,22921.59
2020-04-20,22920.56,22921.59,23143.34,22920.13,343240000.0,0.0,22920.56
2020-04-21,22629.92,22920.41,22920.41,22612.97,248160000.0,-0.0127,22629.92
2020-04-22,22780.3,22629.92,22799.78,22629.92,185210000.0,0.0066,22780.3
2020-04-23,22470.79,22780.3,22805.14,22407.6,201480000.0,-0.013600000000000001,22470.79
2020-04-24,22599.38,22470.79,22672.22,22458.37,211530000.0,0.005699999999999999,22599.38
2020-04-27,22616.28,22599.38,22649.2,22584.64,106060000.0,0.0007000000000000001,22616.28
2020-04-28,22727.87,22616.28,22761.25,22616.28,266620000.0,0.0049,22727.87
2020-04-29,22868.4,22727.87,22884.49,22727.87,277290000.0,0.0062,22868.4
2020-04-30,23021.01,22868.4,23045.44,22636.59,359460000.0,0.0067,23021.01
2020-05-04,23089.86,23021.01,23121.74,22940.24,249830000.0,0.003,23089.86
2020-05-05,23809.31,23089.86,23809.39,23075.49,343950000.0,0.031200000000000002,23809.31
2020-05-06,24143.37,23815.34,24154.65,23807.14,426630000.0,0.013999999999999999,24143.37
2020-05-07,24354.25,24143.37,24369.45,24039.7,431570000.0,0.0087,24354.25
2020-05-08,24045.4,24361.14,24403.77,24030.65,208560000.0,-0.0127,24045.4
2020-05-11,23950.83,24045.4,24058.15,23949.18,204720000.0,-0.0039000000000000003,23950.83
2020-05-12,23695.9,23950.83,23982.29,23542.33,155650000.0,-0.0106,23695.9
2020-05-13,23709.44,23695.9,23759.84,23695.9,159190000.0,0.0006,23709.44
2020-05-14,23892.92,23709.44,23892.92,23709.2,182740000.0,0.0077,23892.92
2020-05-15,23871.33,23872.44,23931.49,23840.8,221440000.0,-0.0009,23871.33
2020-05-18,24010.19,23874.77,24010.19,23871.33,330980000.0,0.0058,24010.19
2020-05-19,24202.87,23943.29,24205.89,23943.29,339750000.0,0.008,24202.87
2020-05-20,24452.23,24202.87,24467.28,24185.62,436770000.0,0.0103,24452.23
